depth,fidelity_no_mcm,fidelity_with_mcm
10,0.8607079764250578,0.788516218759377
30,0.6376281516217733,0.768516218759377
50,0.4723665527410147,0.748516218759377
70,0.3499377491111553,0.728516218759377
90,0.25924026064589156,0.7085162187593771
110,0.19204990862075413,0.6885162187593771
130,0.1422740715865136,0.6685162187593771
150,0.10539922456186433,0.648516218759377
170,0.07808166600115317,0.628516218759377
190,0.057844320874838456,0.6085162187593771
